week_ending_date,year,week,deaths
2010/1/10,2010,2,25734
2010/1/17,2010,3,25841
2010/1/24,2010,4,25324
2010/1/31,2010,5,24518
2010/2/7,2010,6,24958
2010/2/14,2010,7,24592
2010/2/21,2010,8,24487
2010/2/28,2010,9,24282
2010/3/7,2010,10,23267
2010/3/14,2010,11,23284
2010/3/21,2010,12,23388
2010/3/28,2010,13,23188
2010/4/4,2010,14,24502
2010/4/11,2010,15,23373
2010/4/18,2010,16,22572
2010/4/25,2010,17,22854
2010/5/2,2010,18,22859
2010/5/9,2010,19,23626
2010/5/16,2010,20,21554
2010/5/23,2010,21,22242
2010/5/30,2010,22,20978
2010/6/6,2010,23,21964
2010/6/13,2010,24,21447
2010/6/20,2010,25,20964
2010/6/27,2010,26,20510
2010/7/4,2010,27,21199
2010/7/11,2010,28,20684
2010/7/18,2010,29,20796
2010/7/25,2010,30,23027
2010/8/1,2010,31,22114
2010/8/8,2010,32,21899
2010/8/15,2010,33,21259
2010/8/22,2010,34,21770
2010/8/29,2010,35,21530
2010/9/5,2010,36,21855
2010/9/12,2010,37,21058
2010/9/19,2010,38,21239
2010/9/26,2010,39,21550
2010/10/3,2010,40,22168
2010/10/10,2010,41,22003
2010/10/17,2010,42,21809
2010/10/24,2010,43,22108
2010/10/31,2010,44,23356
2010/11/7,2010,45,24221
2010/11/14,2010,46,24195
2010/11/21,2010,47,24428
2010/11/28,2010,48,24251
2010/12/5,2010,49,24987
2010/12/12,2010,50,24509
2010/12/19,2010,51,24921
2010/12/26,2010,52,25509
2011/1/2,2011,1,27030
2011/1/9,2011,2,27387
2011/1/16,2011,3,28114
2011/1/23,2011,4,27673
2011/1/30,2011,5,26614
2011/2/6,2011,6,27259
2011/2/13,2011,7,25896
2011/2/20,2011,8,26089
2011/2/27,2011,9,24597
2011/3/6,2011,10,24836
2011/3/13,2011,11,43311
2011/3/20,2011,12,25490
2011/3/27,2011,13,24909
2011/4/3,2011,14,25837
2011/4/10,2011,15,25014
2011/4/17,2011,16,24107
2011/4/24,2011,17,23656
2011/5/1,2011,18,23963
2011/5/8,2011,19,23491
2011/5/15,2011,20,23077
2011/5/22,2011,21,23098
2011/5/29,2011,22,21794
2011/6/5,2011,23,22673
2011/6/12,2011,24,22466
2011/6/19,2011,25,21185
2011/6/26,2011,26,22265
2011/7/3,2011,27,22122
2011/7/10,2011,28,21327
2011/7/17,2011,29,21375
2011/7/24,2011,30,21136
2011/7/31,2011,31,21480
2011/8/7,2011,32,21961
2011/8/14,2011,33,21959
2011/8/21,2011,34,21903
2011/8/28,2011,35,21410
2011/9/4,2011,36,21496
