"year","week","deaths"
2015,1,30648
2015,2,31136
2015,3,30760
2015,4,29937
2015,5,29081
2015,6,28264
2015,7,28243
2015,8,27406
2015,9,26335
2015,10,26199
2015,11,26151
2015,12,25394
2015,13,25270
2015,14,25224
2015,15,24270
2015,16,24937
2015,17,24427
2015,18,24261
2015,19,23571
2015,20,23431
2015,21,22698
2015,22,23167
2015,23,21959
2015,24,22436
2015,25,22083
2015,26,22113
2015,27,21982
2015,28,22800
2015,29,22459
2015,30,22427
2015,31,23583
2015,32,23475
2015,33,22633
2015,34,22643
2015,35,22390
2015,36,22758
2015,37,22733
2015,38,22756
2015,39,23744
2015,40,23799
2015,41,23929
2015,42,25054
2015,43,24573
2015,44,24678
2015,45,25798
2015,46,24472
2015,47,24093
2015,48,24979
2015,49,26762
2015,50,26429
2015,51,26037
2015,52,26619
2016,1,28013
2016,2,27417
2016,3,27712
2016,4,28573
2016,5,29051
2016,6,27719
2016,7,28516
2016,8,27487
2016,9,27073
2016,10,27731
2016,11,25986
2016,12,26475
2016,13,25364
2016,14,26490
2016,15,24955
2016,16,24787
2016,17,24364
2016,18,23979
2016,19,23755
2016,20,23811
2016,21,22938
2016,22,22974
2016,23,22569
2016,24,22584
2016,25,22390
2016,26,22151
2016,27,22434
2016,28,22491
2016,29,22180
2016,30,22523
2016,31,22675
2016,32,23533
2016,33,23077
2016,34,23695
2016,35,23300
2016,36,23509
2016,37,23342
2016,38,23430
2016,39,23523
2016,40,23808
2016,41,23841
2016,42,24723
2016,43,25500
2016,44,25392
2016,45,26297
2016,46,27076
2016,47,26669
2016,48,26251
2016,49,27224
2016,50,26941
2016,51,28257
2016,52,28374
2017,1,28750
2017,2,29447
2017,3,30112
2017,4,30781
2017,5,30760
2017,6,30216
2017,7,29745
2017,8,29604
2017,9,28405
2017,10,27760
2017,11,27184
2017,12,27359
2017,13,26986
2017,14,27034
2017,15,26530
2017,16,25403
2017,17,24568
2017,18,24831
2017,19,25279
2017,20,24224
2017,21,23854
2017,22,23077
2017,23,23245
2017,24,22951
2017,25,22934
2017,26,23106
2017,27,22816
2017,28,22821
2017,29,23297
2017,30,23194
2017,31,23251
2017,32,23716
2017,33,23321
2017,34,23650
2017,35,23382
2017,36,23822
2017,37,23597
2017,38,23377
2017,39,23644
2017,40,24119
2017,41,24192
2017,42,24548
2017,43,25118
2017,44,25926
2017,45,26428
2017,46,26254
2017,47,26519
2017,48,27928
2017,49,27771
2017,50,27542
2017,51,28212
2017,52,28802
2017,53,29220
2018,1,30787
2018,2,31397
2018,3,30854
2018,4,31071
2018,5,32277
2018,6,31630
2018,7,31064
2018,8,29817
2018,9,29540
2018,10,27513
2018,11,27034
2018,12,26925
2018,13,26792
2018,14,25762
2018,15,25870
2018,16,25554
2018,17,24575
2018,18,24549
2018,19,24216
2018,20,24761
2018,21,23587
2018,22,23104
2018,23,23278
2018,24,22534
2018,25,23232
2018,26,23641
2018,27,23294
2018,28,23696
2018,29,25444
2018,30,24215
2018,31,24089
2018,32,23946
2018,33,23620
2018,34,24665
2018,35,24137
2018,36,24313
2018,37,24314
2018,38,24693
2018,39,24946
2018,40,25556
2018,41,24451
2018,42,25538
2018,43,25968
2018,44,26907
2018,45,26586
2018,46,26163
2018,47,26845
2018,48,27669
2018,49,26621
2018,50,28215
2018,51,28641
2018,52,28294
2019,1,31414
2019,2,31474
2019,3,32120
2019,4,31622
2019,5,32341
2019,6,29895
2019,7,29681
2019,8,28445
2019,9,27831
2019,10,26930
2019,11,26577
2019,12,26696
2019,13,26931
2019,14,27328
2019,15,26542
2019,16,26656
2019,17,25308
2019,18,25482
2019,19,25530
2019,20,24989
2019,21,24593
2019,22,24125
2019,23,23805
2019,24,23743
2019,25,23657
2019,26,23829
2019,27,23410
2019,28,23633
2019,29,24164
2019,30,23894
2019,31,26414
2019,32,25341
2019,33,24613
2019,34,24465
2019,35,24880
2019,36,24741
2019,37,24921
2019,38,24834
2019,39,25221
2019,40,25195
2019,41,25273
2019,42,25823
2019,43,26103
2019,44,26755
2019,45,27477
2019,46,27783
2019,47,28244
2019,48,27821
2019,49,28073
2019,50,29123
2019,51,28473
2019,52,28732
2020,1,30566
2020,2,30171
2020,3,29472
2020,4,29276
2020,5,29050
2020,6,28277
2020,7,29126
2020,8,27417
2020,9,27663
2020,10,26796
2020,11,26649
2020,12,26880
2020,13,26200
2020,14,26520
2020,15,26126
2020,16,26947
2020,17,26204
2020,18,26959
2020,19,24354
2020,20,23796
2020,21,23661
2020,22,23963
2020,23,23794
2020,24,23008
2020,25,22728
2020,26,23451
2020,27,23436
2020,28,23415
2020,29,23371
2020,30,23956
2020,31,24088
2020,32,24220
2020,33,26313
2020,34,25559
2020,35,24531
2020,36,24956
2020,37,24666
2020,38,25144
2020,39,25440
